Date,Rate
3/22/1993,31.78571429
3/29/1993,31.71428571
4/5/1993,31.55714286
4/12/1993,31.6
4/19/1993,31.61428571
4/26/1993,31.6
5/3/1993,31.65
5/10/1993,31.6
5/17/1993,31.6
5/24/1993,31.6
5/31/1993,31.67142857
6/7/1993,31.7
6/14/1993,31.7
6/21/1993,31.7
6/28/1993,31.6
7/5/1993,31.6
7/12/1993,31.6
7/19/1993,31.6
7/26/1993,31.6
8/2/1993,31.6
8/9/1993,31.6
8/16/1993,31.62142857
8/23/1993,31.60857143
8/30/1993,31.63
9/6/1993,31.63
9/13/1993,31.63
9/20/1993,31.55857143
9/27/1993,31.53
10/4/1993,31.53
10/11/1993,31.53
10/18/1993,31.53
10/25/1993,31.51571429
11/1/1993,31.43
11/8/1993,31.43
11/15/1993,31.43
11/22/1993,31.43571429
11/29/1993,31.44
12/6/1993,31.44
12/13/1993,31.44
12/20/1993,31.44
12/27/1993,31.44
1/3/1994,31.44
1/10/1994,31.44
1/17/1994,31.44
1/24/1994,31.44
1/31/1994,31.44
2/7/1994,31.44
2/14/1994,31.44
2/21/1994,31.4
2/28/1994,31.47428571
3/7/1994,31.44857143
3/14/1994,31.43035714
3/21/1994,31.39785714
3/28/1994,31.38857143
4/4/1994,31.40571429
4/11/1994,31.37714286
4/18/1994,31.39142857
4/25/1994,31.38428571
5/2/1994,31.37857143
5/9/1994,31.37428571
